start_station_name,start_station_id,start_lat,start_lng,total_trips,avg_trip_duration,member_trips,casual_trips,weekend_trips,weekday_trips,lunch_hour_trips,morning_trips,evening_trips,lunch_hour_share,weekend_share,total_trips_score,lunch_trips_score,lunch_share_score,weekday_score,casual_score,food_cart_score
E 31 St & 3 Ave,6239.08,40.74394314,-73.97966069,5720,9.654911054778555,5122,598,1704,4016,1103,1102,1787,0.19283216783216783,0.29790209790209793,0.5128664933201829,0.41202838998879343,0.37448565926826793,0.4948860135551448,0.21395348837209302,0.4302476773011884
West St & Liberty St,5184.08,40.711444,-74.014847,5298,15.164146854158803,4271,1027,1366,3932,1056,976,1976,0.19932049830124576,0.25783314458286144,0.4750291401416659,0.39447142323496454,0.3870861851067671,0.4845348120764017,0.3674418604651163,0.42918205014012273
West End Ave & W 60 St,7059.08,40.77237,-73.99005,5579,12.164283569337396,4922,657,1433,4146,1069,1706,1427,0.19161139989245385,0.2568560673955906,0.5002241549358917,0.39932760552857677,0.37211489254476543,0.51090573012939,0.23506261180679786,0.4277195971300091
Allen St & Rivington St,5414.06,40.72019576,-73.98997825,5269,11.505191519579933,4409,860,1850,3419,1160,899,1519,0.22015562725374835,0.3511102676029607,0.47242894288532233,0.4333208815838625,0.42754860944930834,0.4213185459026494,0.3076923076923077,0.4275573451703739
W 44 St & 11 Ave,6756.05,40.762009,-73.996975,5541,11.171521813150454,5010,531,1297,4244,1083,1940,1311,0.1954520844612886,0.23407327197256814,0.496816999910338,0.404557340306313,0.37957361330163286,0.5229821318545903,0.18998211091234346,0.4273513178771097
Pier 40 - Hudson River Park,5696.03,40.7277140777778,-74.01129573583603,5340,14.357871101747815,4037,1303,1722,3618,1013,581,2282,0.18970037453183522,0.32247191011235954,0.47879494306464626,0.37840866641763166,0.3684036259024046,0.4458410351201479,0.4661896243291592,0.42476930105951866
2 Ave & E 29 St,6122.09,40.74172351097472,-73.97809267044067,5643,10.335889771988896,4985,658,1589,4054,1049,1224,1704,0.18589402799929117,0.2815878079035974,0.5059625212947189,0.39185655584609635,0.361011590607319,0.4995686999383857,0.23542039355992844,0.42319736327421537
W 20 St & 7 Ave,6182.02,40.74238787,-73.99726235,5299,9.1380979618796,4869,430,1516,3783,1159,1117,1631,0.21872051330439707,0.2860917154180034,0.4751188021160226,0.4329473290997385,0.4247615765621624,0.46617375231053604,0.15384615384615385,0.421406789216853
5 Ave & E 30 St,6248.08,40.7459849,-73.98629487,4757,10.558699043514821,4160,597,1004,3753,1169,782,1619,0.24574311540887114,0.21105738911078412,0.4265220120147046,0.4366828539409787,0.47724025311288015,0.4624768946395564,0.21359570661896243,0.4210484767841142
E 72 St & York Ave,6889.12,40.76663814,-73.95348296,4947,12.323420645509062,4581,366,815,4132,1123,1469,1130,0.2270062664240954,0.16474631089549222,0.4435577871424729,0.4194994396712738,0.44085274928737367,0.5091805298829328,0.13094812164579606,0.4167304437404676
Cooper Square & Astor Pl,5712.03,40.72951496224949,-73.99075269699097,5277,9.133778580001264,4726,551,1292,3985,1056,906,1806,0.20011370096645822,0.24483608110668942,0.47314623868017575,0.39447142323496454,0.3886266076739913,0.4910659272951325,0.1971377459749553,0.4131411786262027
Forsyth St & Grand St,5382.07,40.71779817737835,-73.99316132068634,5018,10.299597638501394,4481,537,1433,3585,1131,720,1618,0.22538860103626943,0.2855719410123555,0.44992378732179683,0.422487859544266,0.43771119621536375,0.4417744916820702,0.192128801431127,0.4116905957720054
Broadway & W 48 St,6708.04,40.76017739537783,-73.98486793041229,5021,12.579865923122885,4075,946,896,4125,956,891,1609,0.1904003186616212,0.17845050786695876,0.45019277324486684,0.3571161748225626,0.3697629376906846,0.5083179297597042,0.3384615384615385,0.4100248880662768
Broadway & W 53 St,6779.05,40.76344058,-73.98268129,4777,11.281883891563744,4175,602,867,3910,1075,1154,1332,0.2250366338706301,0.18149466192170818,0.4283152515018381,0.4015689204333209,0.4370276657777454,0.4818237831176833,0.2153846153846154,0.4092339197668946
Henry St & Grand St,5294.04,40.714211,-73.981095,5390,9.339515927643784,5029,361,1541,3849,1082,1201,1595,0.20074211502782932,0.285899814471243,0.4832780417824801,0.404183787822189,0.3898470059960743,0.4743068391866913,0.12915921288014312,0.40904582590834615
W 34 St & Hudson Blvd E,6535.04,40.75516719072139,-74.00059908628464,4468,11.846690797523127,3881,587,924,3544,1146,755,1204,0.25649059982094896,0.20680393912264997,0.4006097014256254,0.42809114680612625,0.4981121793624226,0.43672211953173135,0.21001788908765653,0.4081417574899047
Great Jones St,5636.11,40.72743423,-73.99379025,4939,9.926910214618344,4410,529,1353,3586,1117,966,1518,0.22615914152662484,0.2739420935412027,0.4428404913476195,0.4172581247665297,0.43920760818214094,0.4418977202711029,0.18926654740608229,0.40797742611823323
W 27 St & 7 Ave,6257.06,40.74665,-73.99392,4971,10.109347579293233,4445,526,1077,3894,1069,1075,1491,0.21504727419030376,0.21665660832830416,0.4457096745270331,0.39932760552857677,0.4176280397318942,0.4798521256931608,0.18819320214669052,0.4077446298932508
E 39 St & Lexington Ave,6389.09,40.7494985460252,-73.97729203113158,5062,10.766505784933491,4500,562,1037,4025,1034,1299,1423,0.2042670881074674,0.20485973923350453,0.4538689141934905,0.3862532685842361,0.3966926058898642,0.4959950708564387,0.20107334525939177,0.4076314818390686
Orchard St & Grand St,5343.11,40.717318403855785,-73.99067759513855,4975,11.379250536013402,4328,647,1667,3308,1123,934,1487,0.2257286432160804,0.3350753768844221,0.44606832242445976,0.4194994396712738,0.4383715679848518,0.40764017252002466,0.23148479427549196,0.4068555552211001
9 Ave & W 22 St,6266.06,40.7454973,-74.00197139,5114,8.897740640073003,4656,458,1598,3516,1107,1211,1395,0.21646460696128275,0.3124755572937036,0.45853133686003766,0.4135225999252895,0.42038054105524475,0.433271719038817,0.16386404293381038,0.4044445463955296
E 11 St & 1 Ave,5746.14,40.72953837,-73.98426726,4989,9.610625900314025,4447,542,1599,3390,1100,1350,1239,0.220485067147725,0.3205051112447384,0.44732359006545325,0.4109077325364214,0.42818839127239344,0.4177449168207024,0.19391771019677997,0.40140819741516853
E 16 St & 5 Ave,6022.04,40.73726186,-73.99238967,4230,10.517326883372734,3737,493,819,3411,1159,574,1403,0.2739952718676123,0.19361702127659575,0.37927015152873667,0.4329473290997385,0.5321067598588413,0.42033271719038817,0.17638640429338104,0.4012649629203925
